id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Concrete Bloom,Nova Reyes,hip hop,energetic,0.81,95,0.62,0.85,0.10
12,Riverbend,Callum Ashworth,folk,nostalgic,0.35,84,0.55,0.38,0.88
13,Iron Choir,Vantablack,metal,angry,0.95,150,0.30,0.42,0.05
14,Sundial Groove,The Brasswork,funk,playful,0.78,112,0.80,0.82,0.15
15,Nocturne No. 3,Elena Kovar,classical,melancholic,0.22,64,0.35,0.20,0.95
16,Island Drift,Marlon Kesey,reggae,relaxed,0.48,78,0.72,0.65,0.40
17,Warehouse Pulse,DJ Yeva,house,energetic,0.88,128,0.68,0.90,0.08
18,Delta Rain,Otis Marrow,blues,melancholic,0.40,70,0.42,0.35,0.70
